mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
410340,"Galva silty clay loam, 2 to 5 percent slopes",Galva,95,Well drained,15,43,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0008
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,95,Well drained,15,43,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0008
410350,"Radford silty clay loam, 0 to 2 percent slopes",Radford,95,Somewhat poorly drained,23,61,2.0,6.5,0.21,22.0,7.0,71.0,1.36,18.6,FIELD_0008
410318,"Graceville silt loam, 2 to 5 percent slopes",Graceville,90,Moderately well drained,0,20,4.0,6.5,0.21,23.0,9.5,67.5,1.18,20.8,FIELD_0008
410351,"Radford silty clay loam, 2 to 5 percent slopes",Radford,90,Somewhat poorly drained,0,23,2.0,6.2,0.22,29.0,5.0,66.0,1.38,23.5,FIELD_0008
410318,"Graceville silt loam, 2 to 5 percent slopes",Graceville,90,Moderately well drained,20,51,4.0,6.5,0.21,23.0,9.5,67.5,1.18,20.8,FIELD_0008
410351,"Radford silty clay loam, 2 to 5 percent slopes",Radford,90,Somewhat poorly drained,23,61,2.0,6.5,0.21,22.0,7.0,71.0,1.36,18.6,FIELD_0008
410320,"Colo silty clay loam, deep loess, 0 to 2 percent slopes, occasionally flooded",Colo,85,Poorly drained,0,20,6.0,6.3,0.22,30.0,6.0,64.0,1.27,25.6,FIELD_0008
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,0,15,3.1,5.8,0.22,32.0,5.0,63.0,1.28,25.2,FIELD_0008
410342,"Galva silty clay loam, 9 to 14 percent slopes, eroded",Galva,85,Well drained,0,15,3.1,5.8,0.22,32.0,5.0,63.0,1.28,25.2,FIELD_0008
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,15,25,1.6,6.6,0.22,32.0,5.0,63.0,1.28,27.3,FIELD_0008
410342,"Galva silty clay loam, 9 to 14 percent slopes, eroded",Galva,85,Well drained,15,25,1.6,6.6,0.22,32.0,5.0,63.0,1.28,27.3,FIELD_0008
410320,"Colo silty clay loam, deep loess, 0 to 2 percent slopes, occasionally flooded",Colo,85,Poorly drained,20,86,3.0,6.4,0.19,31.0,6.0,63.0,1.23,25.7,FIELD_0008
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,25,79,1.5,7.0,0.19,29.0,5.0,66.0,1.33,24.7,FIELD_0008
410342,"Galva silty clay loam, 9 to 14 percent slopes, eroded",Galva,85,Well drained,25,79,1.5,7.0,0.19,29.0,5.0,66.0,1.33,24.7,FIELD_0008
410343,"Galva-Wadena complex, 5 to 14 percent slopes, moderately eroded",Galva,50,Well drained,0,15,3.2,6.5,0.22,36.5,8.7,54.8,1.28,38.5,FIELD_0008
410343,"Galva-Wadena complex, 5 to 14 percent slopes, moderately eroded",Galva,50,Well drained,15,25,3.5,6.5,0.22,36.5,8.7,54.8,1.28,38.5,FIELD_0008
410343,"Galva-Wadena complex, 5 to 14 percent slopes, moderately eroded",Galva,50,Well drained,25,71,1.5,6.7,0.19,34.5,6.0,59.5,1.33,38.5,FIELD_0008
410343,"Galva-Wadena complex, 5 to 14 percent slopes, moderately eroded",Wadena,30,Well drained,0,38,3.0,6.7,0.21,22.5,39.8,37.7,1.4,30.5,FIELD_0008
